1	Kliff
1001367	Kliff_Clone
1002113	Kliff_AI
4	Damian
1004143	Damian_Clone
6	Oongka
1004085	Yann
2	Yahn
1004236	Nairah
1004239	Witch
1004263	Witch_Clone
100	PlayerAll
1000173	MainVehicle
1003537	WorldObserver
3002	NHM_Citizen_Dyer_3002
3003	NHM_Citizen_Dyer_3003
3004	NHM_Citizen_Dyer_3004
3005	NHM_Noble_3004
3007	NHM_Beggar_3007
3008	NHM_Beggar_3008
3013	NHM_Citizen_Mental_Patient_3013
3014	NHM_Citizen_Mental_Patient_3014
3015	NHM_Citizen_Dyer_3015
3016	NHM_Citizen_Dyer_3016
3021	NHM_Citizen_Bureaucracy_3021
4731	NOM_Citizen_Asylum_Master_4731
3022	NHM_Citizen_Chef_3022
3023	NHM_Citizen_Dyer_3023
3025	NHM_MiddleCitizen_3025
3026	NHM_MiddleCitizen_3026
3027	NHM_Citizen_3027
1000200	NHM_Citizen_3027_Stick
3028	NHM_Citizen_3028
3029	NHM_MiddleCitizen_3029
3030	NHM_MiddleCitizen_3030
3031	NHM_Citizen_3031
3032	NHM_Noble_3032
3033	NHM_Noble_3033
3035	NHM_Citizen_3035
3036	NHM_Noble_3036
1002058	NHM_Noble_3036_Stick
3037	NHM_Noble_3037
3038	NHM_Noble_3038
3039	NHM_Noble_3039
3040	NHM_MiddleCitizen_3040
3043	NHM_MiddleCitizen_University_BackPack_3043
200014	Gimmick_Bag_00_Socket
3512	NHM_Corpse_Collecter_BackPack_3512
200035	Gimmick_Bag_00_Socket
2101027	Gimmick_Bag_03_Socket
1000363	Gimmick_Bag_04_Socket
2133132	Gimmick_Bag_05_Socket
2101004	Gimmick_Bag_07_Socket
12221	NHM_Collecter_Corpse_Backpack_12221
240034	Gimmick_Bag_01_Socket
3044	NHM_MiddleCitizen_3044
3046	NHM_Noble_3046
3049	NHM_MiddleCitizen_3049
3050	NHM_Citizen_3050
3051	NHM_Citizen_3051
3052	NHM_Citizen_3052
3053	NHM_Citizen_3053
3054	NHM_Citizen_3054
3055	NHM_Citizen_3055
3056	NHM_Citizen_3056
3057	NHM_Citizen_University_BackPack_3057
1000034	Gimmick_Bag_01_Socket
3061	NHM_Noble_3061
3062	NHM_Noble_3062
3063	NHM_Noble_3063
3064	NHM_Noble_3064
3065	NHM_Noble_3065
3066	NHM_Noble_3066
