#path	tags	meshes	children	mesh
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0001.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index01.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index02.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index03.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index04.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index05.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index06.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index08.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index09.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0003_index10.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0007.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0007_index01.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0007_index02.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0007_index03.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0007_index04.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0007_index06.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0007_index07.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0007_index08.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0008_03.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0008_03_index02.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0009.prefab	SkinnedMesh	0	0	
/character/prefab/1_pc/01_phm/armor/11_hand/cd_phm_00_hand_0009_index01.prefab	SkinnedMesh	0	0	
