/object/cd_gimmick/breakable/gimmick_breakable_sack_01.prefab	0.51	0.68	0.50
/object/cd_gimmick/breakable/gimmick_breakable_sack_02.prefab	0.85	0.85	0.53
/object/cd_gimmick/breakable/gimmick_breakable_sack_03.prefab	0.63	0.31	1.13
/object/cd_gimmick/00_common/lamp/gimmick_lamp_standtorch_04_on.prefab	0.85	1.69	0.89
/object/cd_gimmick/breakable/gimmick_breakable_sack_02_snow.prefab	0.85	0.85	0.53
/object/cd_gimmick/breakable/gimmick_breakable_sack_03_index01.prefab	0.63	0.31	1.13
/object/cd_gimmick/breakable/gimmick_breakable_sack_03_index02.prefab	0.63	0.31	1.13
/object/000_water_00001.prefab	46.86	12.66	36.61
/object/007_02.prefab	1130.43	48.23	47.94
/object/00_common/ancient/cd_ancient_altarstone_02_01_desert.prefab	2.52	1.66	2.08
/object/00_common/ancient/cd_ancient_altarstone_02_her.prefab	2.76	1.47	1.91
/object/00_common/ancient/cd_ancient_altarstone_02_kwe.prefab	2.76	1.47	1.91
/object/00_common/ancient/cd_ancient_altarstone_03_01_01_dem.prefab	3.92	13.85	2.79
/object/00_common/ancient/cd_ancient_altarstone_03_01_01_desert.prefab	3.92	13.85	2.79
/object/00_common/ancient/cd_ancient_altarstone_03_02.prefab	2.81	11.01	4.87
/object/00_common/ancient/cd_ancient_altarstone_03_desert.prefab	1.56	3.33	1.38
/object/00_common/ancient/cd_ancient_altarstone_04_02_desert.prefab	1.15	2.36	0.58
/object/00_common/ancient/cd_ancient_altarstone_04_02_her.prefab	1.15	2.36	0.58
/object/00_common/ancient/cd_ancient_altarstone_04_03_desert.prefab	1.06	1.28	0.57
/object/00_common/ancient/cd_ancient_altarstone_04_05_desert.prefab	1.72	4.41	1.49
/object/00_common/ancient/cd_ancient_altarstone_04_07_desert.prefab	1.72	6.79	1.49
/object/00_common/ancient/cd_ancient_altarstone_05.prefab	2.48	1.70	2.25
/object/00_common/ancient/cd_ancient_ground_desert_set01_02_dem.prefab	1.03	0.45	11.90
